"FS PEAK";"FS INT";"SS PEAK";"SS INT";"CD11b FITC";"LIN PE";"FL3 INT";"CD33 PCP55";"CD14 PC7";"CD34 APC";"CD15 EF450";"HLA DR V510";"TIME"
97280;673346;28816;167713;52480,67;216,9969;2729,301;14761,66;54993,51;-2703,415;239,1425;960,4337;1830
82800;462475;31376;170403;3310,53;722,9668;92,1062;4808,736;-129,9645;175,2186;11307,94;59,73618;1852
82928;477366;27504;159875;29343,11;481,0494;2851,749;18322,5;16140,02;-816,5201;362,7435;5385,938;1869
54592;303304;12527;70739;6340,952;-170,9241;109,8929;782,3292;199,9668;47,72903;288,9235;287,4769;1901
65216;580649;58032;522174;19216,23;-6649,658;31214,63;12597,99;5690,247;2720,991;10335,49;1883,111;1905
32656;226977;16256;120404;30719,21;459,2201;1471,077;14320,74;41163,24;-1458,243;78,46649;1321,07;1905
118624;808991;59008;377946;16415,96;1101,714;-1710,473;18400,29;-1066,06;-276,3693;58615,59;-187,5022;1917
58240;385991;30608;211737;1917,076;318,1925;843,6063;2796,438;-67,36307;75,94331;10345,15;1028,275;1929
93296;566191;29808;178263;27771,27;295,4363;1807,389;15972,09;36645,13;-1004,296;334,5692;690,449;1934
67680;508586;56144;391508;22488,06;1248,803;-792,0529;9619,591;18452,08;-720,9629;469,0653;485,6121;1934
39568;225443;18608;109061;56868,69;1376,226;-4978,038;8645,72;24644,86;-1243,257;170,2716;529,8521;1935
127120;774957;90608;510181;44063,08;1864,735;-4597,251;33810,63;-2834,005;10598,38;79106,11;353,4836;1935
87104;501808;14544;80290;4460,049;827,5607;1820,66;4039,544;227,6135;172,2974;476,1852;852,002;1946
92720;568318;22736;143066;48405,3;4903,498;1348,689;17540,69;60789,35;-2050,63;284,081;2261,065;1953
82000;473804;24992;149371;21423,43;-142,4661;1841,266;11292,59;12551,82;828,9479;402,3801;548,934;1966
87248;543525;30128;192847;46467,78;435,7715;-289,3554;11685,43;33455,69;-1487,533;542,8698;814,3816;1975
92336;537316;23936;151361;15995,42;-280,575;2193,794;10406,3;4331,056;-347,2705;290,8086;3287,321;1976
50784;452528;37680;315364;50106,19;-844,739;7322,779;19621,21;49151,51;-855,1864;1008,379;1081,64;1992
83232;463401;19424;106268;11693,06;140,6035;709,4219;4626,194;1669,108;-76,11258;225,227;2414,663;1994
60608;382569;21024;125079;65544,99;2198,461;-5827,228;14100,7;45192,79;-1935,134;297,5541;1118,021;2005
87696;533291;19104;115722;35400,32;1724,554;336,5753;15516,33;55817,29;-1773,604;487,4834;718,4651;2016
95232;598504;30352;184260;60710,73;2795,917;-5365,002;20580,52;28502,85;-1809,037;3332,774;574,4612;2022
